,cluster,person
0,cluster0,Jesus
1,cluster0,Peter
2,cluster0,Paul
3,cluster0,Simon
4,cluster0,Thou
5,cluster0,ye
6,cluster0,Simon Peter
7,cluster0,the Son of God
8,cluster0,Galilee
9,cluster0,Philip
10,cluster0,Joseph
11,cluster0,David
12,cluster0,Moses
13,cluster0,Jesus Christ
14,cluster0,John
15,cluster0,Ye
16,cluster0,Woman
17,cluster0,Abraham
18,cluster0,God
19,cluster0,Yea
20,cluster0,Nazareth
21,cluster0,Timothy
22,cluster0,Verily
23,cluster0,Mary
24,cluster0,Grace
25,cluster0,the Holy Spirit
26,cluster0,James
27,cluster0,Andrew
28,cluster0,Jacob
29,cluster0,Isaac
30,cluster0,Silas
31,cluster0,Barnabas
32,cluster0,Elijah
33,cluster0,Son
34,cluster0,Mary Magdalene
35,cluster0,John the Baptist
36,cluster0,Gentiles
37,cluster0,loveth
38,cluster0,Lamb
39,cluster1,Jesus
40,cluster1,Peter
41,cluster1,Paul
42,cluster1,Simon
43,cluster1,Thou
44,cluster1,ye
45,cluster1,Simon Peter
46,cluster1,the Son of God
47,cluster1,Galilee
48,cluster1,Philip
49,cluster1,Joseph
50,cluster1,David
51,cluster1,Moses
52,cluster1,Jesus Christ
53,cluster1,John
54,cluster1,Ye
55,cluster1,Woman
56,cluster1,Abraham
57,cluster1,God
58,cluster1,Yea
59,cluster1,Nazareth
60,cluster1,Timothy
61,cluster1,Verily
62,cluster1,Mary
63,cluster1,Grace
64,cluster1,the Holy Spirit
65,cluster1,James
66,cluster1,Andrew
67,cluster1,Jacob
68,cluster1,Isaac
69,cluster1,Silas
70,cluster1,Barnabas
71,cluster1,Elijah
72,cluster1,Son
73,cluster1,Mary Magdalene
74,cluster1,John the Baptist
75,cluster1,Gentiles
76,cluster1,loveth
77,cluster1,Lamb
78,cluster3,Jesus
79,cluster3,Peter
80,cluster3,Paul
81,cluster3,Simon
82,cluster3,Thou
83,cluster3,ye
84,cluster3,Simon Peter
85,cluster3,the Son of God
86,cluster3,Galilee
87,cluster3,Philip
88,cluster3,Joseph
89,cluster3,David
90,cluster3,Moses
91,cluster3,Jesus Christ
92,cluster3,John
93,cluster3,Ye
94,cluster3,Woman
95,cluster3,Abraham
96,cluster3,God
97,cluster3,Yea
98,cluster3,Nazareth
99,cluster3,Timothy
100,cluster3,Verily
101,cluster3,Mary
102,cluster3,Grace
103,cluster3,the Holy Spirit
104,cluster3,James
105,cluster3,Andrew
106,cluster3,Jacob
107,cluster3,Isaac
108,cluster3,Silas
109,cluster3,Barnabas
110,cluster3,Elijah
111,cluster3,Son
112,cluster3,Mary Magdalene
113,cluster3,John the Baptist
114,cluster3,Gentiles
115,cluster3,loveth
116,cluster3,Lamb
